year,rate
1817,906.0809110145896
1818,936.5927645988788
1819,967.1046181831681
1820,997.6164717674574
1821,1028.1283253517468
1822,1058.640178936036
1823,1089.152032520325
1824,1119.6638861046144
1825,1150.1757396889036
1826,1180.687593273193
1827,1211.1994468574821
1828,1241.7113004417715
1829,1272.223154026061
1830,1302.7350076103498
1831,1333.2468611946392
1832,1363.7587147789286
1833,1394.270568363218
1834,1424.7824219475071
1835,1455.2942755317963
1836,1485.8061291160857
1837,1516.3179827003748
1838,1546.8298362846642
1839,1577.3416898689534
1840,1607.8535434532428
1841,1638.365397037532
1842,1668.877250621821
1843,1699.3891042061105
1844,1729.9009577903998
1845,1760.4128113746892
1846,1790.9246649589782
1847,1821.4365185432675
1848,1851.948372127557
1849,1882.4602257118463
1850,1912.9720792961352
1851,1943.4839328804246
1852,1973.995786464714
1853,2004.507640049003
1854,2035.0194936332923
1855,2065.5313472175817
1856,2096.043200801871
1857,2126.55505438616
1858,2157.0669079704494
1859,2187.578761554739
1860,2218.090615139028
1861,2248.602468723317
1862,2279.1143223076065
1863,2309.626175891896
1864,2340.1380294761852
1865,2370.649883060474
1866,2401.1617366447636
1867,2431.673590229053
1868,2462.185443813342
1869,2492.6972973976312
1870,2523.2091509819206
1871,2553.72100456621
1872,2584.2328581504994
1873,2614.7447117347883
1874,2645.2565653190777
1875,2675.7684189033666
1876,2706.280272487656
1877,2736.792126071946
1878,2767.303979656235
1879,2797.815833240524
1880,2828.327686824813
1881,2858.8395404091025
1882,2889.351393993392
1883,2919.8632475776812
1884,2950.3751011619706
1885,2980.8869547462596
1886,3011.398808330549
1887,3041.9106619148383
1888,3072.4225154991273
1889,3102.9343690834166
1890,3133.446222667706
1891,3163.9580762519954
1892,3194.469929836285
1893,3224.9817834205737
1894,3255.493637004863
1895,3286.005490589152
1896,3316.5173441734414
1897,3347.0291977577313
1898,3377.54105134202
1899,3408.0529049263096
1900,3438.5647585105985
1901,3469.076612094888
1902,3499.5884656791773
1903,3530.100319263466
1904,3560.612172847756
1905,3591.124026432045
1906,3621.6358800163343
1907,3652.1477336006237
1908,3682.6595871849127
1909,3713.171440769202
1910,3743.683294353491
1911,3774.195147937781
1912,3804.70700152207
1913,3835.218855106359
1914,3865.7307086906485
1915,3896.2425622749374
1916,3926.754415859227
1917,3957.266269443516
1918,3987.7781230278056
1919,4018.289976612095
1920,4048.801830196384
1921,4079.3136837806733
1922,4109.825537364963
1923,4140.337390949251
1924,4170.8492445335405
1925,4201.36109811783
1926,4231.872951702119
1927,4262.384805286409
1928,4292.896658870698
1929,4323.408512454987
1930,4353.920366039276
1931,4384.432219623565
1932,4414.944073207855
1933,4546.006968641115
1934,4777.620905923344
1935,5009.234843205575
1936,5240.848780487805
1937,5472.462717770035
1938,5704.076655052265
1939,5935.690592334495
1940,6167.304529616725
1941,6398.918466898955
1942,6630.532404181185
1943,6862.1463414634145
1944,7093.760278745644
1945,7325.374216027874
1946,7556.988153310104
1947,7788.602090592334
1948,8020.216027874564
1949,8251.829965156794
1950,8483.443902439023
1951,8715.057839721254
1952,8946.671777003485
1953,9178.285714285714
1954,9491.578412698413
1955,9804.871111111112
1956,10118.163809523809
1957,10431.456507936507
1958,10744.749206349206
1959,11058.041904761905
1960,11371.334603174604
1961,11684.627301587301
1962,11997.92
1963,12311.212698412699
1964,12624.505396825398
1965,12937.798095238097
1966,13650.533333333335
1967,14762.711111111112
1968,15874.88888888889
1969,16987.066666666666
1970,18099.244444444445
1971,19211.422222222223
1972,20323.6
1973,21435.777777777777
1974,22547.955555555556
1975,23660.13333333333
1976,23972.533333333333
1977,23485.155555555557
1978,22997.777777777777
1979,22510.4
1980,22023.022222222222
1981,21535.644444444446
1982,21048.266666666666
1983,20560.88888888889
1984,20073.51111111111
1985,19586.133333333335
1986,19669.005555555555
1987,20322.12777777778
1988,20975.25
1989,21628.372222222224
1990,22281.494444444445
1991,22934.61666666667
1992,23587.73888888889
1993,24240.861111111113
1994,24893.983333333334
1995,25547.105555555558
1996,26569.850000000002
1997,27962.216666666667
1998,29354.583333333336
1999,30746.95
2000,32139.31666666667
2001,33531.683333333334
2002,34924.05
2003,36316.41666666667
2004,37708.78333333333
2005,39101.15
2006,37807.02777777778
2007,33826.41666666667
2008,29845.80555555556
2009,25865.194444444445
2010,21884.583333333336
2011,17903.972222222223
2012,13923.36111111111
2013,9942.75
2014,10476.569444444445
2015,11010.388888888889
2016,11544.208333333332
2017,12078.027777777777
2018,12611.847222222223
2019,13145.666666666666
2020,13145.666666666666
2021,13145.666666666666
2022,13145.666666666666
