serial,qa,qb,actualage,qc1,qc2,qe,qf,q1,q2,q3,q4,q5,q6,q7,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q10,q11,q121,q122,q123,q124,q125,q126,q127,q128,q129,q13,q13n,q14,q14n,q15,q15n,q16,q16n,q17,q17n,q18,q18n,q19,q19n,q20,q20n,q21,q21n,q22,q23,q24,q2501,q2502,q2503,q2504,q2505,q2506,q2507,q2508,q2509,q2510,q26_1_3,q26_1_4,q26_2_1,q26_2_2,q27,q28,q29,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q36,q37,q38,q39,q52,q53_5,qg,qh,qi,qj
1253,1,4,46,6,1,1,7,4,2,4,2,2,7,3,0,1,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,0,0,1,0,4,1000,6,300,5,250,NA,NA,9,450,3,150,NA,NA,5,5,2,4,1,NA,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,3,6,4,5,4,5,4,4,3,4,4,2,1,2,4,7,5,1
1254,2,6,77,26,2,5,7,3,2,4,1,1,22,3,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,8,2000,3,160,1,35,1,800,NA,NA,NA,NA,7,600,5,5,3,5,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,4,4,4,4,4,2,2,4,1,4,4,1,2,4,3,3,2
1255,1,6,72,4,3,6,7,4,2,4,1,2,23,5,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,4,1000,4,200,3,180,2,1000,NA,NA,NA,NA,NA,NA,5,5,2,3,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,2,1,6,2,3,1,3,3,4,5,5,2,3,1,3,1,2
1256,1,3,39,6,1,1,6,2,2,2,2,3,10,5,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,0,0,0,0,1,0,12,5000,12,600,2,100,NA,NA,12,600,2,100,NA,NA,14,NA,9,NA,4,2,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,3,10,3,3,3,3,3,3,3,3,3,5,2,3,1,8,2,2
1257,2,4,47,22,3,1,7,4,1,5,1,3,12,6,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,8,2000,12,600,3,150,2,1600,NA,NA,NA,NA,3,250,8,8,3,5,6,1,3,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,4,4,3,3,3,2,2,2,4,4,2,1,1,1,5,6,2
1258,1,3,44,17,2,1,5,4,1,4,1,2,23,4,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,1,0,8,2000,9,480,5,280,3,2400,NA,NA,NA,NA,NA,NA,9,9,2,4,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,2,5,3,4,4,3,1,4,3,4,1,3,1,8,6,1
1261,1,3,42,6,1,1,7,2,2,3,2,5,2,4,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,1,1,0,0,0,3,750,2,105,2,105,NA,NA,1,55,1,55,NA,NA,7,7,2,3,1,NA,3,1,0,0,0,0,0,0,0,0,0,3,NA,6,NA,4,4,10,4,5,4,4,2,4,2,4,4,1,4,5,4,8,5,1
1262,1,4,52,6,1,1,6,3,2,3,2,4,9,4,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,0,0,0,0,4,1000,6,300,4,200,NA,NA,8,400,1,90,3,200,10,10,5,10,4,5,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,7,2,6,2,4,4,4,5,3,3,3,1,3,3,8,5,1
1263,1,5,63,26,2,1,6,4,2,4,1,3,10,6,0,1,1,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,0,1,0,4,1200,4,200,2,145,2,1500,NA,NA,NA,NA,NA,NA,7,7,2,3,1,NA,2,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,3,5,4,4,4,2,2,3,1,4,4,3,2,3,2,9,3,2
1264,1,6,73,6,1,1,6,3,2,4,2,1,7,6,0,1,0,0,0,1,1,0,0,4,2,3,0,1,0,0,0,0,0,0,0,8,2000,9,450,4,200,NA,NA,8,400,2,100,NA,NA,6,6,4,8,1,NA,1,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,4,4,9,4,3,4,2,2,3,4,4,3,2,1,3,3,9,8,2
1265,2,2,33,25,2,1,8,4,2,4,1,1,15,6,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,6,1500,7,350,4,220,2,1000,NA,NA,NA,NA,4,300,8,8,2,3,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,5,4,4,4,1,4,3,2,4,2,2,2,1,8,6,2
1267,1,3,43,6,1,1,7,2,2,3,1,1,19,4,0,0,0,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,8,2000,8,420,5,276,NA,NA,4,200,4,248,NA,NA,5,5,4,8,7,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,4,3,5,3,5,5,3,2,2,3,4,1,3,4,7,5,2
1268,2,6,68,20,4,6,4,4,1,2,1,5,23,5,0,0,1,0,0,0,1,0,0,2,2,4,0,0,1,0,0,0,0,0,0,8,2000,13,NA,13,NA,NA,NA,NA,NA,NA,NA,9,1000,10,10,4,8,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,9,1,4,1,3,1,2,5,2,2,5,1,1,2,3,2,2
1269,1,6,65,6,1,6,7,2,2,3,2,2,13,5,0,1,0,0,0,1,1,0,0,4,2,1,0,0,0,0,0,0,0,1,0,1,400,2,140,2,110,1,100,NA,NA,NA,NA,NA,NA,3,3,1,1,7,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,3,9,4,4,4,3,2,2,3,3,4,2,3,3,4,3,1,2
1270,1,2,25,6,1,1,7,1,1,4,1,5,7,3,0,0,0,1,0,0,0,0,0,7,2,5,0,1,0,0,0,0,0,0,0,3,782,3,182,1,98,NA,NA,2,132,1,62,NA,NA,6,6,2,4,3,5,2,0,0,0,1,0,0,0,0,0,0,NA,6,NA,4,5,5,3,4,2,4,4,4,4,1,5,5,2,1,5,4,9,5,1
1271,2,6,70,25,2,5,6,4,2,4,1,2,23,4,0,1,1,0,0,1,1,0,0,4,2,1,0,0,0,1,0,0,0,0,0,4,1000,6,300,3,160,1,500,NA,NA,NA,NA,6,500,6,6,9,NA,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,4,4,4,4,4,3,3,3,4,2,2,3,1,12,3,2
1272,2,6,79,9,2,7,6,3,2,5,1,1,10,2,0,1,0,1,0,1,1,0,0,4,2,2,0,0,0,1,0,0,0,0,0,6,1500,4,200,1,70,NA,NA,4,200,2,100,7,750,7,7,4,8,7,NA,1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,2,2,2,3,4,3,4,1,2,2,2,3,3,4,1,2,7,3,2
1273,2,3,40,6,1,1,8,3,2,3,2,5,4,3,0,0,0,0,0,1,0,1,0,4,2,1,0,1,0,0,0,0,0,0,0,8,2000,7,350,5,280,7,NA,8,400,5,280,NA,NA,6,6,3,5,4,7,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,3,4,7,4,5,3,4,3,3,2,3,5,4,1,3,3,6,5,1
1274,2,6,77,23,3,7,6,4,1,4,1,2,11,6,0,1,1,0,0,1,1,0,0,3,2,1,0,0,0,1,0,0,0,0,0,8,2000,6,325,3,185,2,1500,NA,NA,NA,NA,6,500,6,6,3,6,4,5,2,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,1,4,4,4,2,2,2,2,4,3,2,1,4,3,12,3,2
1275,1,3,38,6,1,1,8,2,2,3,2,6,3,2,1,0,0,0,0,0,0,0,0,NA,1,6,0,0,0,0,0,0,0,1,0,13,NA,4,210,3,160,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,3,6,5,3,1,0,0,0,0,0,0,0,0,0,6,NA,6,NA,4,4,8,2,4,2,4,4,3,3,4,3,2,4,5,4,8,1,2
1276,1,4,51,24,2,1,4,3,2,4,2,4,8,4,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,0,0,0,0,13,NA,13,NA,13,NA,7,NA,NA,NA,NA,NA,10,NA,14,NA,9,NA,3,7,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,4,10,5,4,3,3,2,3,2,4,4,4,2,3,1,12,5,1
1277,2,6,72,13,3,6,7,3,1,3,1,1,21,6,0,1,1,0,0,0,0,0,0,8,2,1,0,0,0,1,0,0,0,0,0,3,800,13,NA,1,0,1,500,NA,NA,NA,NA,4,300,5,5,2,3,7,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,9,3,4,3,3,1,2,5,2,4,5,2,1,3,4,1,2
1278,1,3,36,14,2,1,8,4,1,4,2,3,8,4,0,0,0,1,0,1,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,12,8000,11,595,9,478,2,1000,NA,NA,NA,NA,NA,NA,4,4,1,2,5,1,1,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,4,3,9,4,5,4,2,1,2,3,1,1,4,1,1,1,6,5,1
1279,1,6,76,2,4,6,7,4,1,4,1,2,11,3,0,1,1,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,6,1500,3,150,2,120,2,1500,NA,NA,NA,NA,9,1000,8,8,3,6,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,6,4,4,4,4,2,2,2,4,4,4,3,1,1,8,3,2
1281,1,3,39,16,4,1,7,4,2,4,2,6,3,3,0,1,0,0,0,0,0,0,0,2,1,6,0,0,0,1,0,0,0,0,0,4,1000,12,650,5,283,NA,NA,NA,NA,NA,NA,1,1,7,7,4,7,5,5,4,1,0,0,0,0,0,0,0,0,0,5,NA,4,NA,4,3,6,3,4,2,4,3,4,3,2,3,2,4,5,1,6,5,1
1282,1,6,73,9,2,6,6,4,2,4,1,2,23,6,0,0,0,0,0,1,1,0,0,3,2,1,0,0,0,1,0,0,0,0,0,8,2200,10,500,7,380,3,2400,NA,NA,NA,NA,7,600,7,7,4,8,1,NA,2,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,2,5,9,4,4,3,4,2,2,2,4,4,1,2,2,1,7,3,2
1283,1,6,72,6,1,6,8,2,1,3,1,2,7,5,0,1,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,0,0,1,0,3,800,5,280,1,45,NA,NA,3,170,1,27,NA,NA,7,7,4,8,7,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,5,9,5,5,5,4,1,2,3,2,5,2,1,3,3,12,5,1
