question_code,response_code,du_average,calibration_run
q52,2,0.0021636278834193945,22
q52,3,0.0051884393324144185,22
q52,4,0.007210041396319866,22
theta,NA,-0.08663664563027851,22
q13,1,0.003771491115912795,23
q13,2,0.004065587534569204,23
q13,3,0.00498502457048744,23
q13,4,0.005107510951347649,23
q13,5,0.008925881003960967,23
q13,6,0.009438184089958668,23
q52,1,0.0028130727805546485,23
q52,2,0.0017222047899849713,23
q52,3,0.004871677083428949,23
q52,4,0.006838246248662472,23
theta,NA,-0.08675496342857514,23
q13,1,0.005382675910368562,24
q13,2,0.005917312577366829,24
q13,3,0.006842545699328184,24
q13,4,0.007121759059373289,24
q13,5,0.010278114583343267,24
q13,6,0.01090361550450325,24
q52,1,0.0012611695274244994,24
q52,2,8.455801871605217e-4,24
q52,3,0.004283287678845227,24
q52,4,0.00578334485180676,24
theta,NA,-0.08668275285890559,24
q13,1,0.0034085316583514214,25
q13,2,0.0040087560773827136,25
q13,3,0.004384971456602216,25
q13,4,0.004607679788023233,25
q13,5,0.008540138136595488,25
q13,6,0.00838459306396544,25
q52,1,0.005691298072633799,25
q52,2,0.003785526263527572,25
q52,3,0.008086776128038764,25
q52,4,0.010064354166388512,25
theta,NA,-0.08936620193526323,25
q13,1,0.004424265120178461,26
q13,2,0.0052024758188053966,26
q13,3,0.005523258820176125,26
q13,4,0.005749830510467291,26
q13,5,0.008355047670193017,26
q13,6,0.009215036174282432,26
q52,1,0.0014329679834190756,26
q52,2,9.74863360170275e-4,26
q52,3,0.003954700194299221,26
q52,4,0.0059290609788149595,26
theta,NA,-0.0848743516326067,26
q13,1,0.004461977863684297,27
q13,2,0.005653369647916406,27
q13,3,0.0067290301667526364,27
q13,4,0.007411106445943005,27
q13,5,0.009960130788385868,27
q13,6,0.009698201669380069,27
q52,1,0.002783404524961952,27
q52,2,0.0015895114629529417,27
q52,3,0.00527988001704216,27
q52,4,0.006986070889979601,27
theta,NA,-0.087947787673329,27
q13,1,0.003558256896212697,28
q13,2,0.004630787530913949,28
q13,3,0.005485569825395942,28
q13,4,0.006179751537274569,28
q13,5,0.00908811716362834,28
q13,6,0.009446105919778347,28
q52,1,0.003908029568265192,28
q52,2,0.002540432440582663,28
q52,3,0.007023165817372501,28
q52,4,0.008715795818716288,28
theta,NA,-0.08914532107155537,28
q13,1,0.0031178337521851063,29
q13,2,0.004124199564103037,29
q13,3,0.004472427652217448,29
q13,4,0.004901087610051036,29
q13,5,0.007881497964262962,29
q13,6,0.008070301031693816,29
q52,1,0.0022732167271897197,29
q52,2,0.0015959651791490614,29
q52,3,0.005599849973805249,29
q52,4,0.007762525230646133,29
theta,NA,-0.08518418176299747,29
q13,1,0.004060831619426608,30
