nu.,p.,beta.,r.,eta.,tau.,y
0.22930005195971415,0.008708384353513865,0.904881419841355,0.10149363922260263,0.04859697509819142,0.04913849067778103,6.292840485751847
0.7994980659871012,0.0048952935207169914,0.4974418608373103,0.1482576857009181,0.01635137816400023,0.030863073301770055,6.395588583692874
0.4161669077770785,0.005204295947169885,0.5293044998357073,0.05572334103534619,0.024000557936572783,0.04924563842165905,6.633187636786543
0.6031897296666989,0.008652337117679562,0.8905884653040498,0.14982783152277016,0.0044005630521076165,0.0352697339402632,6.6897742219012954
0.2629077469003099,0.008825191998820633,0.6540660351870785,0.10342125875139493,0.02512182441754874,0.011015209117321335,6.736030956787625
0.2014466153938679,0.002284178286318228,0.4306882652696269,0.02931611239440822,0.039286250845783154,0.027344499590930854,7.142605799766995
0.584959130929783,0.019356696778442713,0.7865309509029612,0.13447513734083621,0.03321984845097177,0.03711327376038147,8.667982080117397
0.21821126595139506,0.018781477827951316,0.4563568049669266,0.033968618574086576,0.03500440080145684,0.014913202278936902,9.170622129461377
0.7980578532703871,0.005292418918112889,0.40318344664585604,0.11072395018198569,0.04997420208155104,0.04244364352382933,9.746425939200595
0.6779133817367257,0.013535211129719393,0.6435791504103691,0.1418606117994835,0.018300031386703875,0.008515593935735524,9.748080064083895
0.4252110895421356,0.012756026167655365,0.9042289072275161,0.06845789974089711,0.0062064624147024,0.03596114679588937,9.9210003604979
0.3297027289588005,0.018142053770180792,0.6273610862856731,0.10289613132101172,0.03910161989857443,0.007230876778873305,10.22094473487443
0.7965819588563094,0.017741588001102204,0.6236684917220532,0.018463825925669447,0.011038275143233196,0.025832634183330084,10.667821975952098
0.3510051293298603,0.01725096487179399,0.568452971894294,0.10966162623123575,0.026699859112268316,0.01643494505202398,11.4527623841999
0.6105919820116833,0.014878379650646822,0.5133743228018284,0.0808063637575445,0.016621013780434925,0.004562847341876477,17.14725682069652
0.6587244045874104,0.009474112187791615,0.8299589985562488,0.02661766712227836,0.008499221573195732,0.005900778851161401,21.34276920898576
0.5030629157880322,0.01988620380405337,0.4059144728211686,0.05991368085161472,0.008193241561142107,3.2252333320987724e-4,43.34951108676258
0.7095380472019315,0.012865703916735948,0.9965080540580675,0.018269067713214703,0.012670239901635797,0.00273933355192033,88.88822268295212
