Epoch,Iteration,nu,p,r,beta,eta,tau,lambda,error
7,47,0.7,0.020000000000000004,0.1,1,0.1,0.1,0.1,3.8022352356663713
0,14,0.3710566424252465,0.010886491056799424,0.07075331329455367,0.802056331965141,0.006339017717400567,0.08626020733907354,0.06593572312849574,3.898391621650823
37,77,0.7,0.002,0.01,1,0.04587149596519291,0,-0.1,3.9264845754032693
2,42,0.1,0.002,0.1,0.3,0.013843566718929565,0.06818881256615061,0.1,4.132396066460055
0,22,0.45588913887506344,0.009696586692426354,0.035766279740026226,0.7899006843887036,0.07982841598743107,0.049675739278318365,-0.009917035844409838,4.349210855998682
33,73,0.7,0.002,0.01,0.3,0.1,0,0.01944350166079674,4.400551635581347
28,68,0.7,0.002,0.01,0.3,0,0,-0.1,4.782571340532604
14,54,0.7,0.002,0.01,1,0.07927324002577579,0.1,0.1,4.801962258309356
0,4,0.6186016653780825,0.016513008564012124,0.0123262204938801,0.4632938757265219,0.08561513989930973,0.032001121154753495,-0.08443371520610526,4.941745036121964
35,75,0.25124485438178756,0.020000000000000004,0.07845310336468825,0.3,0.03758199349408977,0.0751838331095145,0.1,5.049862021418091
0,2,0.22973413851112126,0.013448084228881637,0.014543797767430078,0.38775363661465234,0.053714037041645506,0.008154616001411341,-0.019987556333653636,5.134095912272926
0,10,0.584647541110171,0.012064050928747749,0.04142373948724708,0.6923497989651515,0.09887496350100265,0.022468119994737207,0.08844379260553978,5.207625962095173
26,66,0.1,0.002,0.1,0.3,0.05743311581929603,0.1,0.1,5.2528919991649765
40,80,0.7,0.002,0.01,0.3,0.021913171794275058,0,-0.1,5.285958349060525
0,9,0.38597968541667793,0.0070280375531292525,0.08083425261930097,0.38396826045936905,0.09586576599336695,0.043731326378183444,0.09241311016259715,5.559504263930668
16,56,0.7,0.002,0.01,1,0.1,0,-0.025324280228220086,5.803510350463275
0,24,0.6512065693677869,0.005169304655818269,0.023203129009052647,0.5171528929338092,0.06388418673304841,0.07077243387466296,0.07063947845483198,5.931179200668676
0,32,0.31882026655133816,0.015444176479091402,0.037123022489948206,0.9248151830409188,0.060793957253918056,0.012117947480874136,0.013909665918909006,6.050148050016955
10,50,0.7,0.020000000000000004,0.1,0.3,0,0.07540813656258633,0.1,6.108221037583521
0,39,0.3348909939685837,0.009641247681039387,0.06739933505217778,0.9609629877988481,0.05805687517335173,0.02808814357733354,-0.05254039377090522,6.194965349539907
24,64,0.4685263135140205,0.002,0.01,0.3,0.07210601169774142,0,0.1,6.370511067168239
25,65,0.7,0.002,0.06496154114795111,1,0.07168238129601578,0.1,0.1,6.370835345732737
0,19,0.17821609547594564,0.011757396553177387,0.05598744006134803,0.30363571709371173,0.029118643093388533,0.045356328167836184,0.019204328865744164,6.620260030398676
0,18,0.667159872216871,0.01260836654205341,0.04854570431541652,0.7574791544990148,0.08483286062895787,0.0511553014261881,-0.09206561619881541,6.724896344958041
31,71,0.7,0.002,0.01,0.3,0.04731164556258924,0,-0.1,6.888124462323904
0,27,0.5231008578266483,0.00355693450892577,0.04730278636416188,0.6504471806238871,0.011033914236468264,0.0646564241842134,-0.03506816252600402,6.926698296565367
38,78,0.34334643429002987,0.020000000000000004,0.03976767820755703,0.3,0.1,0,-0.1,6.988595475044099
0,20,0.4963490436179564,0.008824176663602704,0.0761039126070682,0.8372148657578509,0.03238568670407404,0.08062088399019558,-0.03467608102480882,7.321194083209977
0,37,0.1749687531485688,0.015529350754013287,0.06056593934586273,0.9739277224056422,0.0906644604727626,0.025621253800927665,-0.08677177633857355,7.359226528228415
0,25,0.3696950872789603,0.01975296419836814,0.06982680830458413,0.8618578681256621,0.025658819036907518,0.08297753070597537,-0.07792736721690745,7.508773753621091
0,31,0.19118127688299866,0.00404100086822873,0.04328075543331216,0.7309988386393524,0.07039461177948396,0.004427007984486408,-0.06875595940626227,7.847059566983918
18,58,0.7,0.020000000000000004,0.01,0.3,0.01962650831747445,0.1,-0.1,7.89264186921284
0,15,0.26651965170516634,0.01378692282070406,0.09306405501242261,0.5648921564634657,0.032747842082753775,0.06685361136915162,-0.060226005496224394,7.927302351909078
0,38,0.15217561367317103,0.002389760391996242,0.053654564470984045,0.8504919443890684,0.05226920224260539,0.038776138013927264,5.698456428944454e-5,8.02021195467379
34,74,0.23091531363816165,0.020000000000000004,0.1,0.7718449659097076,0.03452493342261412,0.1,0.014257514225085297,8.236660584750565
0,33,0.14150694293901325,0.011099145158519971,0.09731686124973932,0.8871749288140562,0.08115035080118105,0.05837088977510575,-0.02477040605503135,8.418462306102075
39,79,0.1,0.020000000000000004,0.01,0.3,0.03670886769365791,0.1,-0.1,8.635322728635149
0,35,0.308955234993482,0.004510798544657883,0.05138971242849948,0.5349323641334194,0.042620720081613404,0.05466047459514811,-0.01256474399706349,8.650416298479506
29,69,0.1,0.020000000000000004,0.07148482277432479,0.3,0.07578753964095271,0,0.1,8.734588582764301
0,13,0.5131312678521499,0.010149974354787265,0.04521976735029603,0.3222626888984814,0.045595782399177553,0.09529399654828014,0.07519845268921929,8.849985384825937
0,36,0.10369483806658537,0.018350555450143295,0.0738252583759022,0.8077461960958316,0.06684885327413213,0.07476993509160822,-0.07418454574188219,8.85394201226186
8,48,0.7,0.020000000000000004,0.01,0.3,0.1,0.1,0.1,8.859393329718301
0,3,0.5700112220365554,0.019359174138319217,0.08923823300137884,0.3391343450575368,0.06876706277369522,0.09828246430959553,0.023993613437050948,9.11811779227178
0,12,0.34100736513966695,0.0162681353838183,0.09935103153198725,0.40724761099787427,0.08840606319135987,0.06242303633363917,-0.0465026639669668,9.18534930968689
0,21,0.28998518363572656,0.002520011998608243,0.02026871852314798,0.9320901479729218,0.04895481304323767,0.06786415738635697,-0.04092051578103565,9.23926520523785
0,23,0.20536838939413427,0.007730960715014954,0.06338305809354643,0.671642947536311,0.023491998346289622,0.09424166886252351,-0.0556421783042606,9.358537477660029
3,43,0.7,0.002,0.1,0.3,0.1,0,-0.1,9.642589833146303
0,17,0.25956150199053807,0.0031487909732037227,0.06435620051348816,0.4865168487891788,0.09334561533469242,0.07933611712884159,-7.319075870328151e-5,10.282141851032062
19,59,0.1,0.002,0.1,0.3,0.1,0,-0.1,10.327129260851006
20,60,0.7,0.002,0.01,0.3,0.1,0.1,-0.1,10.637828301006842
30,70,0.4538902346471909,0.002,0.1,1,0.1,0.1,-0.1,10.885253096849237
11,51,0.7,0.002,0.1,0.3,0,0.1,0.04133932435765286,10.908855991764298
17,57,0.7,0.002,0.1,0.3,0.1,0.1,0.1,11.123307399412269
22,62,0.7,0.002,0.1,1,0.08555267131468958,0,0.1,18.078041569185928
6,46,0.1,0.002,0.01,0.3,0.09007761385950168,0,0.1,29.131622165016037
9,49,0.1,0.002,0.01,1,0.01542777258248771,0.07099638326914277,0.1,42.516434190466015
0,1,0.12322481602779589,0.017387509130325635,0.027284257738967428,0.4407040353358025,0.004812836004421115,7.810060528572649e-4,0.041419512307038525,50.63138642299014
0,40,0.43583070090040565,0.014831774470082021,0.09451185328816064,0.9890507053461624,0.0015739555959589778,0.006483641417580658,-0.09973306868458168,126.13449919847866
15,55,0.1,0.020000000000000004,0.01,1,0.1,0.07886754165723185,0.1,183.53562105043645
