Epoch,Iteration,nu,p,r,beta,eta,tau,error
0,24,0.4948786867111922,0.049256106129381805,0.026696581954695285,0.8479073675279506,0.19882511382820084,0.08163541005909443,3.3084939149299806
26,76,0.8,0.05405543247815256,0.02349447453419825,0.9,0.057578378274775896,0.1,3.3173932554775707
0,5,0.3343457805356011,0.014749639712972567,0.03354756971672178,0.7697976280841976,0.18983131080176682,0.010832439930001273,3.3643345315086126
20,70,0.8,0.01,0.01,0.4,0.01,0.07595341619654072,3.3947493386212377
23,73,0.2,0.04827401473984932,0.05,0.4,0.15867746436154206,0.01603809038284722,3.401400503786304
0,3,0.7360193360541016,0.02826581427268684,0.027597701258398596,0.518136135279201,0.281336039916845,0.00556289290196728,3.418422367138221
0,1,0.7449983427198605,0.018935747114941476,0.03506187147460878,0.6176582852005958,0.04737849048534409,0.0977713199999882,3.447651002298887
0,13,0.5474912936352194,0.022381171209271997,0.044782171579077844,0.8880732097383589,0.026786660667695104,0.07199731565809343,3.4662494718070596
0,10,0.25899758673086765,0.023759337179362773,0.011904664440453053,0.6007391741243191,0.18206833864226937,0.018230274836323224,3.498989638944454
0,50,0.7831962388791145,0.043148408781038594,0.010373734647780656,0.8925377305783332,0.09341264046761207,0.0762461016098503,3.5433059605434827
0,2,0.38467256391234694,0.027355219520861285,0.030591063524782657,0.5783997233747504,0.030831252468610182,0.0916754251052346,3.5684583664594314
0,40,0.2332106278948486,0.0563981816379819,0.046103616574220366,0.7175195880676619,0.08906574146561323,0.03539082363395952,3.5739005762127505
28,78,0.8,0.06,0.05,0.9,0.19220051853022183,0.03643321417522276,3.5745277675378544
0,23,0.41057826038356876,0.03210568001191132,0.04108468627575785,0.7248547677183523,0.1120431302230805,0.07838519204563463,3.6205018345288145
0,34,0.7616931522507222,0.012978557019028813,0.03813115772809833,0.8384653843590059,0.1627309152046684,0.05140890113411937,3.702008722716563
3,53,0.2,0.06,0.01,0.4,0.3,0.001,3.9456785598641813
0,19,0.30493378637637947,0.042805599592393266,0.01276760967299342,0.7582097423821688,0.25839968117279927,0.06675719526514877,3.9854612145794697
2,52,0.8,0.01,0.05,0.4,0.05924140764884076,0.05798221834780638,3.9970245065772185
18,68,0.2,0.06,0.05,0.4,0.0544380229497664,0.0664294808071564,3.9988695960080345
14,64,0.2,0.01,0.05,0.9,0.1291604556407964,0.025096896010234935,4.001553236822669
1,51,0.8,0.06,0.05,0.4,0.0678349866016351,0.0925959083322397,4.0897288965006
0,37,0.5200627109752969,0.038830309894867236,0.04975449679233134,0.8521375909983181,0.12623271804298272,0.012450146989896892,4.133041276776458
0,42,0.3303436696464196,0.04655242408579215,0.013335042830556632,0.4943618808896281,0.22589236362054943,0.042119013482234444,4.202000458746964
0,6,0.7940122741376983,0.016701926589244975,0.03987535299360752,0.540390911102295,0.2947074025357608,0.0339353564803768,4.242576840738436
0,22,0.582059177783318,0.03510850426694378,0.047954711381345994,0.8031787100806833,0.221952359393565,0.08606767147513573,4.278169603431531
0,17,0.6101605485808105,0.030398194284411144,0.04433287711683661,0.45840932032093407,0.28544981668097896,0.026764766053934585,4.279127145798247
0,25,0.2826502901893109,0.021993184784194455,0.03243381863478571,0.5809242253587581,0.1255042250025086,0.04541031435737387,4.2941999682542535
0,20,0.52558735064324,0.050656990088988094,0.0366389071231708,0.47396910717012364,0.29064559691138564,0.047427493442995475,4.347793018531018
9,59,0.2,0.06,0.01,0.4,0.08443772536175284,0.08214276870187955,4.365103676293555
0,35,0.6886400164980442,0.05304298313497565,0.019096397452615203,0.46634102684678513,0.21453061587256378,0.0740022180555435,4.384401679238334
22,72,0.8,0.01,0.01,0.4,0.09570606525722203,0.062295703268783406,4.436472030430478
10,60,0.8,0.01,0.01,0.9,0.01,0.09594377540597802,4.439733357146748
7,57,0.8,0.01,0.01,0.9,0.13146363803819736,0.02163910871927533,4.523431531063446
16,66,0.2,0.01,0.05,0.9,0.3,0.001,4.671770501282834
0,18,0.35974979835655546,0.03394251860119402,0.02922119997087866,0.6712578092352488,0.262677021591505,0.06474994250866585,4.701157293885943
0,36,0.44549587935768076,0.054405268558068196,0.028978516629152004,0.40815253847278654,0.16915034749754704,0.05375964184243232,4.730682601401113
0,15,0.2649070214154199,0.011516770434798674,0.024121575405076146,0.6363597041019239,0.07269065842460841,0.08317844301110133,4.886549307417927
0,30,0.6711500464715064,0.03160118681308813,0.015442932584509253,0.5066790724894963,0.2692262499573175,0.09270687507369556,5.092871195497093
0,16,0.5899077834831552,0.015635452034184708,0.010924757299758494,0.5950296185328625,0.01837408233564347,0.060318609801754366,5.107152363507519
0,11,0.22064387904945762,0.04780271531641483,0.039381694851815696,0.7805747611355036,0.15694006419163198,0.09902541580361314,5.26462549026062
0,9,0.695088517446071,0.02047030906425789,0.031808952152356504,0.5299092319048941,0.25292621931494214,0.07494062433707528,5.341603033752289
24,74,0.8,0.06,0.01,0.9,0.3,0.1,5.415609166082689
0,7,0.4025547553049401,0.01016770673589781,0.03749434008896351,0.707086603473872,0.20470127187864856,0.06255905831757001,5.50334690845036
0,4,0.2957501314040274,0.013924170645419509,0.0459191274613142,0.41368458723416557,0.14809861168554053,0.039981152295591314,5.575715554553885
0,12,0.5683064287099988,0.03485280710365623,0.0486784994956106,0.5606601264374331,0.2748161576759536,0.08830236576748546,5.670132614255065
0,31,0.2114236645596102,0.059582229975145305,0.034777501040324565,0.5544450532714836,0.24246848552636802,0.05812596915242262,5.8621104880097805
4,54,0.2,0.01,0.01,0.4,0.261101839638761,0.010615613617953198,5.873011577496287
0,27,0.48190409911144527,0.03748887839470989,0.028353691418655215,0.44291613935027274,0.21288032882176341,0.09518032551574056,6.254153314161399
0,8,0.35241117423586554,0.01994781493814662,0.042637993708625435,0.4830529594002292,0.11611438020993954,0.08706865726032295,6.38367036625743
0,45,0.6242081634998322,0.05279234877112322,0.0312656132074073,0.7487687360635027,0.10516061756019479,0.020783619775529952,6.705060891308374
0,21,0.7247793656885624,0.04819485127716325,0.023426917302049696,0.8136582166189328,0.2409552437043283,0.02204617475676816,6.754066443954942
8,58,0.7835886999986099,0.028277549321440644,0.04532883423154304,0.4,0.3,0.1,6.85527709047193
0,48,0.5075047163963318,0.058644429036183283,0.014734802421554923,0.8262636958062649,0.09897136236294171,0.02977759819646832,8.551744743432124
0,33,0.6062175706131384,0.029536041478859264,0.022515444474853576,0.7797020161570981,0.1885837822396774,0.004918309220215306,9.663515117257923
0,49,0.7129878171077,0.03939961709128693,0.01772722004428506,0.8791060902900063,0.07819689121260306,0.0258959108123323,15.213518404943317
0,43,0.6328579418417066,0.036713076049229125,0.04180364170111716,0.6553277042414993,0.0364774838692043,0.03248414697649423,17.65559094567357
0,39,0.45425350908376283,0.026939413671381772,0.025384346210584045,0.6682205794285982,0.0411153598095756,0.014566947384979576,21.91288916591652
