Epoch,Iteration,nu,p,beta,eta,tau,error
0,40,0.8295067231589929,0.04677949307263828,0.9243234393489548,0.13187013116071467,0.04525314730172977,3.35764110529401
17,67,1,0.01903297639413213,0.5,0.225,0,3.3733230741377045
0,47,0.0469287862489,0.04497064990391955,0.5146753935865127,0.1261832732318435,0.028778495326288973,3.4589079926446678
40,90,1,0.06,0.7058576660453306,0.225,0.075,3.510426939610478
0,18,0.5000001108366996,0.005724809192968532,0.8406392052839511,0.10242933158332015,0.030942017609719184,3.5109578309619605
0,32,0.2914791315374896,0.026905030437260866,0.7413440507696941,0.048907932039233853,0.056474564895266664,3.543682645692389
14,64,0,0.06,0.5,0.225,0,3.768533059847185
48,98,0,0.030404131484554602,0.8673119533080168,0.225,0,3.8802834557280597
0,22,0.31350496942643075,0.01845780739642214,0.6079878221219406,0.17744157844211442,0.02796762264787685,3.887354514606677
0,41,0.8473838968155906,0.00785317061393056,0.7500315514020621,0.14100015470758082,0.03907262579491362,3.9572154114398446
0,19,0.6412143114209176,0.03928301773479208,0.6591325805895031,0.04257921318663284,0.061979191120248286,3.9577339747311697
16,66,0,0.06,1,0.225,0.075,3.980076281625314
36,86,0,0.015366037793902478,0.5,0,0.075,4.046535001163915
0,42,0.6140376655664295,0.0019865662735048684,0.8227071024710313,0.15092196372582112,0.0036187279187142847,4.073723681388461
41,91,1,0.06,0.5,0.225,0,4.1320362169820015
0,6,0.08451796269975603,0.014912097433498129,0.7644847821583971,0.1091471983086085,0.03349819595413282,4.178156722816375
0,46,0.19382276331540196,0.04829329277114477,0.5027063216338865,0.11552373571973293,6.722351628122851e-4,4.178376767962506
0,35,0.4795299081131816,0.0341078010178078,0.6339164954749867,0.18692852081847378,0.06067723188002128,4.215356306818098
15,65,1,0.017888134313932113,1,0.225,0.075,4.229283736659203
33,83,0.4032912099439776,0.017931671398817843,1,0.225,0.075,4.28830673077116
0,12,0.9120411929162219,0.010533635456194169,0.8740478880004957,0.1913916584876133,0.06576405979448464,4.330424660275737
45,95,0.13825912087743691,0.008652085882255673,0.5,0,0.075,4.343510336468427
18,68,0.6088151793076305,0.06,0.5,0.225,0.075,4.502788067300568
0,14,0.8608292730618268,0.02404094033946283,0.7975075416313484,0.0584279889796162,0.03836065500159748,4.6495243978365055
12,62,0,0.06,0.5,0.14719694011503487,0.075,4.6528411590272265
0,39,0.8875636700447649,0.030969930575136095,0.9492674873792566,0.20782857734605206,0.0354419681285508,4.694059298170283
30,80,0,0.06,0.7254203302375294,0.225,0.075,4.758336784147797
31,81,0,0.0023605773240268175,0.5,0,0.075,4.760049540469035
0,13,0.6336159185506404,0.0039985642854962495,0.9702813589875586,0.0983837849968113,0.07378326564340386,4.764263848307289
0,30,0.1798737161559984,0.0425068086989224,0.781199168129824,0.19690707161009777,0.052335736378328876,4.783303385065418
0,43,0.5496017387183383,0.04993426645030267,0.9396688822773285,0.18145639069669417,0.02493294771260116,4.810389241790524
0,38,0.7519555733632296,0.004692994491085409,0.7356128654466011,0.10722500760876573,0.07196393756743054,5.144273901084507
46,96,0,0.016045146527249764,1,0.225,0.075,5.184122186594055
0,1,0.9404147644201294,0.003111030936706811,0.5683415888785385,0.07772593827790115,0.06761887718865182,5.20102407226554
0,34,0.15650910052936523,0.028314420523601582,0.6406201046635397,0.12219868672674056,0.06902647429320495,5.215497993914917
6,56,1,0.06,1,0.225,0.075,5.357025019058188
0,9,0.33544166973326356,0.056090010276790704,0.54033175857272,0.02217253195960075,0.07262352933129296,5.630498117900359
28,78,0,0.008599006309945121,0.9700200660238284,0.225,0.075,5.806696928366236
34,84,0,0.025556995993622923,0.5,0.225,0.075,5.819345315914358
0,15,0.12534077705815436,0.05208535592514556,0.5251793233631179,0.21236046713381074,0.04697489069332369,5.909131754010504
29,79,0,0.0050176532210211445,0.5,0.16188987135190525,0.075,6.065422706183875
43,93,1,0.018617342859353018,0.6534306431431852,0.1608317588258688,0,6.851544882918656
9,59,1,0.01852865533781177,1,0.015636867012727585,0.075,7.106499556137025
0,4,0.0614393274160102,0.022070141032873653,0.9569955865596421,0.06501369793480262,0.022300940914778036,7.809895735536737
0,26,0.49990319315809756,0.05158470827648882,0.991280035013333,0.06042688345920761,0.05307821669115219,8.307043937097676
22,72,1,0.04920809280329075,0.5,0,0.075,8.51165676945235
0,7,0.9782218512380496,0.013401287000789307,0.8339901632163673,0.08418142453953624,0.009086170799913817,8.942722377086012
49,99,1,0.0025313254864988794,1,0.225,0,9.857845945306893
10,60,0.643324104891324,0.012810790569883622,1,0.225,0,11.104403577069577
24,74,0,0.03822401614205922,1,0.10780838111413465,0,11.501849923746697
0,31,0.6798437314294279,0.040890803476069125,0.6119434185116552,0.05209801074082498,0.025858310744049956,12.342109916951358
0,10,0.015575018571689725,0.02698599337144755,0.6844259658083319,0.008812636230723002,0.04192500161658972,17.647182487751678
0,24,0.22836074572522194,0.05803632755782455,0.5978369724052027,0.030355902839452026,0.036146905878558754,18.084522309724633
0,28,0.3842231745179743,0.05716038907540496,0.7267555999755859,0.07454689121595584,0.01608448343141936,19.682551909589268
0,21,0.806795253814198,0.054830409441399386,0.7785915947821922,0.1658385425156448,0.007162760407081805,19.902278345913086
0,5,0.4481061128899455,0.05977940229440573,0.8804562176554465,0.015247544841491618,0.06722417561046314,21.290494134426677
27,77,1,0.007541795707945532,0.5,0,0,24.62282136176313
0,3,0.9260815773904324,0.035277188106011596,0.711386386945378,0.002661662957514636,0.04802593069081195,24.767493684765416
39,89,0,0.0483497645362069,0.7823388778641718,0,0.075,27.176731488573637
5,55,1,0.06,0.7724144475400833,0,0.075,28.185495124366103
20,70,0,0.036750275380178665,1,0,0.075,36.162284805527726
42,92,1,0.04409649504071912,1,0,0.075,38.1038200438043
19,69,0.6399371536187194,0.010960152128173757,0.5,0,0,48.757054485147826
0,11,0.217318962411955,0.03752265409697778,0.5375592591962777,0.011483988038613462,0.023937636337475848,53.38310848103292
47,97,0.6190560788146772,0.06,1,0.225,0,57.444062767903866
